Unit;x1;x2;x3;x4;y1;y2;y3;y4
Base;0;0;3340;3340;1310;8738;8738;1310
feed1;0;0;256;256;1310;8527;8527;1310
feed2;3108;3108;3340;3340;1310;8527;8527;1310
cubicle1;625;624;1557;1557;2595;2902;2902;2595
cubicle2;1798;1798;2724;2724;2595;2902;2902;2595
bed1;630;630;1134;1134;3583;5619;5619;3583
bed2;630;630;1130;1130;6084;8119;8119;6084
bed3;1430;1430;1935;1935;3583;5619;5619;3583
bed4;1430;1430;1935;1935;6084;8119;8119;6084
bed5;2232;2232;2733;2733;3583;5619;5619;3583
bed6;2232;2232;2733;2733;6084;8119;8119;6084
bed8;625;625;914;914;1695;2595;2595;1695
bed9;2440;2440;2724;2724;1695;2595;2595;1695
area1;630;630;882;882;3583;3710;3710;3583
area2;630;630;882;882;3710;3838;3838;3710
area3;630;630;882;882;3838;3965;3965;3838
area4;630;630;882;882;3965;4092;4092;3965
area5;630;630;882;882;4092;4219;4219;4092
area6;630;630;882;882;4219;4347;4347;4219
area7;630;630;882;882;4347;4474;4474;4347
area8;630;630;882;882;4474;4601;4601;4474
area9;630;630;882;882;4601;4728;4728;4601
area10;630;630;882;882;4728;4856;4856;4728
area11;630;630;882;882;4856;4983;4983;4856
area12;630;630;882;882;4983;5110;5110;4983
area13;630;630;882;882;5110;5237;5237;5110
area14;630;630;882;882;5237;5365;5365;5237
area15;630;630;882;882;5365;5492;5492;5365
area16;630;630;882;882;5492;5619;5619;5492
area17;882;882;1134;1134;3583;3710;3710;3583
area18;882;882;1134;1134;3710;3838;3838;3710
area19;882;882;1134;1134;3838;3965;3965;3838
area20;882;882;1134;1134;3965;4092;4092;3965
area21;882;882;1134;1134;4092;4219;4219;4092
area22;882;882;1134;1134;4219;4347;4347;4219
area23;882;882;1134;1134;4347;4474;4474;4347
area24;882;882;1134;1134;4474;4601;4601;4474
area25;882;882;1134;1134;4601;4728;4728;4601
area26;882;882;1134;1134;4728;4856;4856;4728
area27;882;882;1134;1134;4856;4983;4983;4856
area28;882;882;1134;1134;4983;5110;5110;4983
area29;882;882;1134;1134;5110;5237;5237;5110
area30;882;882;1134;1134;5237;5365;5365;5237
area31;882;882;1134;1134;5365;5492;5492;5365
area32;882;882;1134;1134;5492;5619;5619;5492
area33;630;630;882;882;6084;6211;6084;6211
area34;630;630;882;882;6211;6338;6211;6338
area35;630;630;882;882;6338;6466;6338;6466
area36;630;630;882;882;6466;6593;6466;6593
area37;630;630;882;882;6593;6720;6593;6720
area38;630;630;882;882;6720;6847;6720;6847
area39;630;630;882;882;6847;6974;6847;6974
area40;630;630;882;882;6974;7102;6974;7102
area41;630;630;882;882;7102;7229;7102;7229
area42;630;630;882;882;7229;7356;7229;7356
area43;630;630;882;882;7356;7483;7356;7483
area44;630;630;882;882;7483;7610;7483;7610
area45;630;630;882;882;7610;7737;7610;7737
area46;630;630;882;882;7737;7865;7737;7865
area47;630;630;882;882;7865;7992;7865;7992
area48;630;630;882;882;7992;8119;7992;8119
area49;882;882;1134;1134;6084;6211;6084;6211
area50;882;882;1134;1134;6211;6338;6211;6338
area51;882;882;1134;1134;6338;6466;6338;6466
area52;882;882;1134;1134;6466;6593;6466;6593
area53;882;882;1134;1134;6593;6720;6593;6720
area54;882;882;1134;1134;6720;6847;6720;6847
area55;882;882;1134;1134;6847;6974;6847;6974
area56;882;882;1134;1134;6974;7102;6974;7102
area57;882;882;1134;1134;7102;7229;7102;7229
area58;882;882;1134;1134;7229;7356;7229;7356
area59;882;882;1134;1134;7356;7483;7356;7483
area60;882;882;1134;1134;7483;7610;7483;7610
area61;882;882;1134;1134;7610;7737;7610;7737
area62;882;882;1134;1134;7737;7865;7737;7865
area63;882;882;1134;1134;7865;7992;7865;7992
area64;882;882;1134;1134;7992;8119;7992;8119
area65;1430;1430;1683;1683;3583;3710;3710;3583
area66;1430;1430;1683;1683;3710;3838;3838;3710
area67;1430;1430;1683;1683;3838;3965;3965;3838
area68;1430;1430;1683;1683;3965;4092;4092;3965
area69;1430;1430;1683;1683;4092;4219;4219;4092
area70;1430;1430;1683;1683;4219;4347;4347;4219
area71;1430;1430;1683;1683;4347;4474;4474;4347
area72;1430;1430;1683;1683;4474;4601;4601;4474
area73;1430;1430;1683;1683;4601;4728;4728;4601
area74;1430;1430;1683;1683;4728;4856;4856;4728
area75;1430;1430;1683;1683;4856;4983;4983;4856
area76;1430;1430;1683;1683;4983;5110;5110;4983
area77;1430;1430;1683;1683;5110;5237;5237;5110
area78;1430;1430;1683;1683;5237;5365;5365;5237
area79;1430;1430;1683;1683;5365;5492;5492;5365
area80;1430;1430;1683;1683;5492;5619;5619;5492
area81;1683;1683;1935;1935;3583;3710;3710;3583
area82;1683;1683;1935;1935;3710;3838;3838;3710
area83;1683;1683;1935;1935;3838;3965;3965;3838
area84;1683;1683;1935;1935;3965;4092;4092;3965
area85;1683;1683;1935;1935;4092;4219;4219;4092
area86;1683;1683;1935;1935;4219;4347;4347;4219
area87;1683;1683;1935;1935;4347;4474;4474;4347
area88;1683;1683;1935;1935;4474;4601;4601;4474
area89;1683;1683;1935;1935;4601;4728;4728;4601
area90;1683;1683;1935;1935;4728;4856;4856;4728
area91;1683;1683;1935;1935;4856;4983;4983;4856
area92;1683;1683;1935;1935;4983;5110;5110;4983
area93;1683;1683;1935;1935;5110;5237;5237;5110
area94;1683;1683;1935;1935;5237;5365;5365;5237
area95;1683;1683;1935;1935;5365;5492;5492;5365
area96;1683;1683;1935;1935;5492;5619;5619;5492
area97;1430;1430;1683;1683;6084;6211;6084;6211
area98;1430;1430;1683;1683;6211;6338;6211;6338
area99;1430;1430;1683;1683;6338;6466;6338;6466
area100;1430;1430;1683;1683;6466;6593;6466;6593
area101;1430;1430;1683;1683;6593;6720;6593;6720
area102;1430;1430;1683;1683;6720;6847;6720;6847
area103;1430;1430;1683;1683;6847;6974;6847;6974
area104;1430;1430;1683;1683;6974;7102;6974;7102
area105;1430;1430;1683;1683;7102;7229;7102;7229
area106;1430;1430;1683;1683;7229;7356;7229;7356
area107;1430;1430;1683;1683;7356;7483;7356;7483
area108;1430;1430;1683;1683;7483;7610;7483;7610
area109;1430;1430;1683;1683;7610;7737;7610;7737
area110;1430;1430;1683;1683;7737;7865;7737;7865
area111;1430;1430;1683;1683;7865;7992;7865;7992
area112;1430;1430;1683;1683;7992;8119;7992;8119
area113;1683;1683;1935;1935;6084;6211;6084;6211
area114;1683;1683;1935;1935;6211;6338;6211;6338
area115;1683;1683;1935;1935;6338;6466;6338;6466
area116;1683;1683;1935;1935;6466;6593;6466;6593
area117;1683;1683;1935;1935;6593;6720;6593;6720
area118;1683;1683;1935;1935;6720;6847;6720;6847
area119;1683;1683;1935;1935;6847;6974;6847;6974
area120;1683;1683;1935;1935;6974;7102;6974;7102
area121;1683;1683;1935;1935;7102;7229;7102;7229
area122;1683;1683;1935;1935;7229;7356;7229;7356
area123;1683;1683;1935;1935;7356;7483;7356;7483
area124;1683;1683;1935;1935;7483;7610;7483;7610
area125;1683;1683;1935;1935;7610;7737;7610;7737
area126;1683;1683;1935;1935;7737;7865;7737;7865
area127;1683;1683;1935;1935;7865;7992;7865;7992
area128;1683;1683;1935;1935;7992;8119;7992;8119
area129;2232;2232;2483;2483;3583;3710;3710;3583
area130;2232;2232;2483;2483;3710;3838;3838;3710
area131;2232;2232;2483;2483;3838;3965;3965;3838
area132;2232;2232;2483;2483;3965;4092;4092;3965
area133;2232;2232;2483;2483;4092;4219;4219;4092
area134;2232;2232;2483;2483;4219;4347;4347;4219
area135;2232;2232;2483;2483;4347;4474;4474;4347
area136;2232;2232;2483;2483;4474;4601;4601;4474
area137;2232;2232;2483;2483;4601;4728;4728;4601
area138;2232;2232;2483;2483;4728;4856;4856;4728
area139;2232;2232;2483;2483;4856;4983;4983;4856
area140;2232;2232;2483;2483;4983;5110;5110;4983
area141;2232;2232;2483;2483;5110;5237;5237;5110
area142;2232;2232;2483;2483;5237;5365;5365;5237
area143;2232;2232;2483;2483;5365;5492;5492;5365
area144;2232;2232;2483;2483;5492;5619;5619;5492
area145;2483;2483;2733;2733;3583;3710;3710;3583
area146;2483;2483;2733;2733;3710;3838;3838;3710
area147;2483;2483;2733;2733;3838;3965;3965;3838
area148;2483;2483;2733;2733;3965;4092;4092;3965
area149;2483;2483;2733;2733;4092;4219;4219;4092
area150;2483;2483;2733;2733;4219;4347;4347;4219
area151;2483;2483;2733;2733;4347;4474;4474;4347
area152;2483;2483;2733;2733;4474;4601;4601;4474
area153;2483;2483;2733;2733;4601;4728;4728;4601
area154;2483;2483;2733;2733;4728;4856;4856;4728
area155;2483;2483;2733;2733;4856;4983;4983;4856
area156;2483;2483;2733;2733;4983;5110;5110;4983
area157;2483;2483;2733;2733;5110;5237;5237;5110
area158;2483;2483;2733;2733;5237;5365;5365;5237
area159;2483;2483;2733;2733;5365;5492;5492;5365
area160;2483;2483;2733;2733;5492;5619;5619;5492
area161;2232;2232;2483;2483;6084;6211;6084;6211
area162;2232;2232;2483;2483;6211;6338;6211;6338
area163;2232;2232;2483;2483;6338;6466;6338;6466
area164;2232;2232;2483;2483;6466;6593;6466;6593
area165;2232;2232;2483;2483;6593;6720;6593;6720
area166;2232;2232;2483;2483;6720;6847;6720;6847
area167;2232;2232;2483;2483;6847;6974;6847;6974
area168;2232;2232;2483;2483;6974;7102;6974;7102
area169;2232;2232;2483;2483;7102;7229;7102;7229
area170;2232;2232;2483;2483;7229;7356;7229;7356
area171;2232;2232;2483;2483;7356;7483;7356;7483
area172;2232;2232;2483;2483;7483;7610;7483;7610
area173;2232;2232;2483;2483;7610;7737;7610;7737
area174;2232;2232;2483;2483;7737;7865;7737;7865
area175;2232;2232;2483;2483;7865;7992;7865;7992
area176;2232;2232;2483;2483;7992;8119;7992;8119
area177;2483;2483;2733;2733;6084;6211;6084;6211
area178;2483;2483;2733;2733;6211;6338;6211;6338
area179;2483;2483;2733;2733;6338;6466;6338;6466
area180;2483;2483;2733;2733;6466;6593;6466;6593
area181;2483;2483;2733;2733;6593;6720;6593;6720
area182;2483;2483;2733;2733;6720;6847;6720;6847
area183;2483;2483;2733;2733;6847;6974;6847;6974
area184;2483;2483;2733;2733;6974;7102;6974;7102
area185;2483;2483;2733;2733;7102;7229;7102;7229
area186;2483;2483;2733;2733;7229;7356;7229;7356
area187;2483;2483;2733;2733;7356;7483;7356;7483
area188;2483;2483;2733;2733;7483;7610;7483;7610
area189;2483;2483;2733;2733;7610;7737;7610;7737
area190;2483;2483;2733;2733;7737;7865;7737;7865
area191;2483;2483;2733;2733;7865;7992;7865;7992
area192;2483;2483;2733;2733;7992;8119;7992;8119
area193;625;625;742;742;1695;2595;2595;1695
area194;742;742;858;858;1695;2595;2595;1695
area195;859;859;975;975;1695;2595;2595;1695
area196;975;975;1091;1091;1695;2595;2595;1695
area197;1091;1091;1208;1208;1695;2595;2595;1695
area198;1208;1208;1324;1324;1695;2595;2595;1695
area199;1324;1324;1441;1441;1695;2595;2595;1695
area200;1441;1441;1557;1557;1695;2595;2595;1695
area201;1798;1798;1914;1914;1695;2595;2595;1695
area202;1914;1914;2030;2030;1695;2595;2595;1695
area203;2030;2030;2145;2145;1695;2595;2595;1695
area204;2145;2145;2261;2261;1695;2595;2595;1695
area205;2261;2261;2377;2377;1695;2595;2595;1695
area206;2377;2377;2493;2493;1695;2595;2595;1695
area207;2493;2493;2608;2608;1695;2595;2595;1695
area208;2608;2608;2724;2724;1695;2595;2595;1695
